,Data-set,Algorithm,Support,Run-time,Memory,Patterns
259,Buoys,LCM-GRAD,0.5,319.42,55619.0,33.0
289,Buoys,LCM-GRAD,0.5,349.62,55619.0,33.0
387,Buoys,LCM-GRAD,0.5,350.03,55619.0,33.0
429,Buoys,LCM-GRAD,0.5,342.25,55619.0,33.0
532,Buoys,LCM-GRAD,0.5,328.72,55619.0,33.0
632,Buoys,LCM-GRAD,0.5,326.26,55619.0,33.0
638,Buoys,LCM-GRAD,0.5,343.37,55619.0,33.0
19,Buoys,ACO-GRAANK,0.6,0.086,142.9,7.0
79,Buoys,ACO-GRAANK,0.6,0.0586,121.3,5.0
350,Buoys,ACO-GRAANK,0.6,0.1355,173.6,7.0
408,Buoys,ACO-GRAANK,0.6,0.0617,130.8,3.0
426,Buoys,ACO-GRAANK,0.6,0.3018,210.2,13.0
448,Buoys,ACO-GRAANK,0.6,0.0617,125.7,5.0
479,Buoys,ACO-GRAANK,0.6,0.0547,122.7,4.0
653,Buoys,ACO-GRAANK,0.6,0.0346,113.2,2.0
662,Buoys,ACO-GRAANK,0.6,0.0545,121.8,5.0
22,Buoys,ACO-LCM,0.6,2.3962,429.9,2.0
33,Buoys,ACO-LCM,0.6,3.0891,460.0,11.0
108,Buoys,ACO-LCM,0.6,3.0916,452.7,10.0
125,Buoys,ACO-LCM,0.6,2.8734,448.3,6.0
182,Buoys,ACO-LCM,0.6,3.0048,452.9,10.0
355,Buoys,ACO-LCM,0.6,2.4178,431.9,2.0
396,Buoys,ACO-LCM,0.6,2.5919,444.0,4.0
504,Buoys,ACO-LCM,0.6,2.7791,447.3,5.0
573,Buoys,ACO-LCM,0.6,3.0454,451.0,10.0
23,Buoys,GRAANK,0.6,4.2421,137.6,66.0
171,Buoys,GRAANK,0.6,4.1522,137.5,66.0
180,Buoys,GRAANK,0.6,4.199,137.6,66.0
266,Buoys,GRAANK,0.6,4.1986,137.6,66.0
279,Buoys,GRAANK,0.6,4.2142,137.6,66.0
335,Buoys,GRAANK,0.6,4.1977,137.6,66.0
347,Buoys,GRAANK,0.6,4.2144,137.5,66.0
580,Buoys,GRAANK,0.6,4.1872,137.5,66.0
589,Buoys,GRAANK,0.6,4.2085,137.6,66.0
61,Buoys,LCM-GRAD,0.6,225.99,53995.0,33.0
102,Buoys,LCM-GRAD,0.6,225.98,53995.0,33.0
295,Buoys,LCM-GRAD,0.6,228.61,53995.0,33.0
298,Buoys,LCM-GRAD,0.6,227.55,53995.0,33.0
