date_time,id_site,Tpic,Dir,Etal,Tz,Hm0,Ts1,Ts2,Tc,Tav,Tint,Tp,EPS2,EPS4,Qp,S2,Tref,Tw,Batt,timestamp
2019-01-04 08:55:00,8,3.3300000000,87.0000000000,25.1000000000,3.4800000000,0.3800000000,5.6500000000,3.7800000000,2.7300000000,4.2900000000,3.8000000000,8.4400000000,0.4345160000,0.6165540000,1.4085560000,0.0201340000,24.8500000000,13.8500000000,7.0000000000,2019-01-04 09:00:00
2019-01-04 09:25:00,8,2.6300000000,67.3000000000,38.5000000000,3.0300000000,0.4400000000,4.7700000000,3.2400000000,2.5200000000,3.6200000000,3.1900000000,7.0300000000,0.3802780000,0.5559490000,1.6169780000,0.0307150000,24.8500000000,13.9000000000,7.0000000000,2019-01-04 09:30:00
2019-01-04 09:55:00,8,3.2300000000,75.8000000000,34.9000000000,3.1000000000,0.4600000000,4.6500000000,3.2800000000,2.5700000000,3.6300000000,3.3200000000,6.5800000000,0.3651810000,0.5542230000,1.8064080000,0.0306690000,24.8500000000,13.9000000000,7.0000000000,2019-01-04 10:00:00
2019-01-04 10:25:00,8,3.1200000000,74.4000000000,45.2000000000,3.1700000000,0.4600000000,4.9200000000,3.3800000000,2.5600000000,3.7700000000,3.3800000000,7.1400000000,0.3888590000,0.5824340000,1.5664660000,0.0292590000,24.8500000000,13.9500000000,7.0000000000,2019-01-04 10:30:00
2019-01-04 10:55:00,8,3.1200000000,64.5000000000,38.0000000000,3.1200000000,0.4900000000,4.4700000000,3.3100000000,2.6000000000,3.6000000000,3.4100000000,6.0200000000,0.3492320000,0.5548600000,1.8323090000,0.0321640000,24.8500000000,14.0000000000,7.0000000000,2019-01-04 11:00:00
2019-01-04 11:25:00,8,3.4500000000,77.2000000000,24.2000000000,3.0800000000,0.4900000000,4.4200000000,3.2600000000,2.5700000000,3.5500000000,3.3600000000,6.0000000000,0.3500170000,0.5517410000,1.7916410000,0.0331770000,24.8500000000,14.0000000000,7.0000000000,2019-01-04 11:30:00
2019-01-04 11:55:00,8,3.7000000000,74.4000000000,28.6000000000,3.2000000000,0.5900000000,4.3900000000,3.3700000000,2.6400000000,3.6400000000,3.3900000000,5.7200000000,0.3444080000,0.5577610000,1.7341260000,0.0369340000,24.8500000000,14.0500000000,7.0000000000,2019-01-04 12:00:00
2019-01-04 12:25:00,8,4.1700000000,65.9000000000,15.7000000000,3.4800000000,0.6700000000,4.4100000000,3.6300000000,2.8900000000,3.8400000000,4.2600000000,5.3700000000,0.3141020000,0.5503470000,2.2908030000,0.0355000000,24.8500000000,14.1000000000,7.0000000000,2019-01-04 12:30:00
2019-01-04 12:55:00,8,4.0000000000,60.3000000000,19.2000000000,3.3900000000,0.6500000000,4.3300000000,3.5500000000,2.8400000000,3.7600000000,4.1300000000,5.2700000000,0.3123780000,0.5486200000,2.2894220000,0.0362600000,24.8500000000,14.1000000000,7.0000000000,2019-01-04 13:00:00
2019-01-04 13:25:00,8,4.1700000000,67.3000000000,15.2000000000,3.4200000000,0.6800000000,4.2600000000,3.5800000000,2.8200000000,3.7700000000,4.5300000000,5.0800000000,0.3152680000,0.5612130000,2.5713890000,0.0372940000,24.8500000000,14.1000000000,7.0000000000,2019-01-04 13:30:00
