Data-set,Algorithm,Support,Run-time,Memory,Patterns
B_C,LCM-GRAD (1.0),0.6,14.836,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.557,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,15.017,10232.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.79,10232.0,19.0
B_C,LCM-GRAD (1.0),0.6,15.155,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,15.061,10232.0,19.0
B_C,LCM-GRAD (1.0),0.6,15.858,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.841,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.721,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.647,10232.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.806,10232.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.59,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.887,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.769,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.887,10232.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.674,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.88,10232.0,19.0
B_C,LCM-GRAD (1.0),0.6,15.035,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.891,9951.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.826,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.918,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.658,10232.0,19.0
B_C,LCM-GRAD (1.0),0.6,15.254,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.631,10232.0,19.0
B_C,LCM-GRAD (1.0),0.6,15.189,10232.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.663,10232.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.92,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.899,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.553,10231.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.903,9951.0,19.0
B_C,LCM-GRAD (1.0),0.6,14.642,10232.0,19.0
B_C,ACO-GRAANK (2.0),0.7,0.0352,119.2,2.0
B_C,ACO-GRAANK (2.0),0.7,0.0817,155.7,1.0
B_C,ACO-GRAANK (2.0),0.7,0.0921,151.6,1.0
B_C,ACO-GRAANK (2.0),0.7,0.0502,107.8,2.0
B_C,ACO-GRAANK (2.0),0.7,0.0172,82.4,1.0
B_C,ACO-GRAANK (2.0),0.7,0.0898,158.3,2.0
B_C,ACO-GRAANK (2.0),0.7,0.0461,105.4,1.0
B_C,ACO-GRAANK (2.0),0.7,0.0867,167.2,1.0
B_C,ACO-GRAANK (2.0),0.7,0.0491,113.3,1.0
B_C,ACO-GRAANK (2.0),0.7,0.1796,167.8,0.0
B_C,ACO-GRAANK (2.0),0.7,0.0584,126.9,2.0
B_C,ACO-GRAANK (2.0),0.7,0.0239,101.8,1.0
B_C,ACO-GRAANK (2.0),0.7,0.0472,108.3,0.0
B_C,ACO-GRAANK (2.0),0.7,0.1816,225.5,1.0
B_C,ACO-GRAANK (2.0),0.7,0.0718,148.4,0.0
B_C,ACO-GRAANK (2.0),0.7,0.1489,208.2,1.0
B_C,ACO-GRAANK (2.0),0.7,0.1297,118.9,1.0
B_C,ACO-GRAANK (2.0),0.7,0.1584,153.6,0.0
B_C,ACO-GRAANK (2.0),0.7,0.0232,100.0,1.0
B_C,ACO-GRAANK (2.0),0.7,0.0738,143.0,1.0
B_C,ACO-GRAANK (2.0),0.7,0.0966,162.7,0.0
B_C,ACO-GRAANK (2.0),0.7,0.0349,119.0,1.0
B_C,ACO-GRAANK (2.0),0.7,0.0816,180.8,1.0
B_C,ACO-GRAANK (2.0),0.7,0.0662,143.1,1.0
B_C,ACO-GRAANK (2.0),0.7,0.0366,121.9,1.0
B_C,ACO-GRAANK (2.0),0.7,0.1083,176.6,1.0
